ERRO,COMANDO,NOMECAT,IDPRODUTO,CODPROD,NOMEPROD,PESO,DESCRICAO,DESCRLONGA,DESCRURL,URLTARGET,ESTOQUE,ESTOQUEMINIMO,DISPONIVEL,ICMS,CUSTO,PRECO,PRECOPROM,PRECOB2B,PRECOB2BPROM,DATAPROMINICIO,DATAPROMFIM,LANCAMENTO,EMDESTAQUE,IMAGEMPROD,IMAGEMDET,IMAGEMAMP,ADICIONAL1,ADICIONAL2,ADICIONAL3,ADICIONALD1,ADICIONALD2,ADICIONALD3,CORES,ORDEMPROD,IDPRODUTOPAI,RAMOPROD,MAISPROD,DATAVENCIMENTO,DIASAVISOVENCIMENTO,DIASREPOSICAO,IDPARCEIROPROD,DESCRHTM,METAKEYWORDSPROD,MAXPARCELASPROD,XMLPARCELASPROD,CODBARRASPROD,EMBALAVEL,ISPRODUTOGRANDE,LARGURAPROD,ALTURAPROD,PROFUNDIDADEPROD,CODVIDEO,PRODMPN,TITLEPROD,URLPROD,VENDACONJUNTA,METADESCRIPTIONPROD,IDSFILTROITEM
"IDProduto não encontrado","A","Cursos de E-commerce",6510267,"EPMSP","Curso de Ecommerce para Moda",0,"","<p>A ComSchool oferece um curso pioneiro de E-commerce de Moda, onde você aprende sobre gestão e estratégias específicas desse mercado. Os professores são especialistas e ensinam os aspectos operacionais e de marketing que giram em torno de um e-commerce de moda. Sem falar no networking de alto nível, visita técnica e dicas de bastidores de alguns dos grandes nomes do mercado de moda online. </p>
<p>O curso também dá direito a Fábrica de Empresas, que é uma consultoria gratuita para auxiliar seu projeto de e-commerce.</p>

<p><strong>TURMA DURANTE A SEMANA</strong></p>
<p><strong>Datas: 05/08 a 09/08 (Segunda a Sexta-feira)</strong></p>
<p><strong>Horário: das 19h às 22h30 </strong></p>
<p><strong> </strong></p>
<p><strong>F</strong><strong>ale agora com um consultor:</strong></p>
","",False,0,0,True,0,0,2390,0,0,0,"","",False,False,"curso-teste.jpg","curso-teste-de.jpg","curso-teste-amp.jpg","","","","","","","",0,"",0,"","",0,0,"","epmsp.htm","",10,0,"",False,False,0,0,0,"","","Curso de Ecommerce para Moda","curso-de-ecommerce-para-moda","","Na ComSchool você encontra Curso de SAC 3.0 - Curso de SAC 3.0  presencial ou online em até 10x sem juros no cartão. Confira Nossos Cursos!","271504,271501,271506"
"IDProduto não encontrado","A","Cursos de Marketing Digit",6510271,"MDPSC","Curso de Marketing Digital de Alta Performance em Florianópolis",0,"","<p>O Curso Gestão de Marketing Digital de Alta Performance, em Florianópolis, foi desenvolvido para trazer os melhores resultados às suas ações de marketing digital. Aprenda a fazer Marketing Digital com Performance.</p>

<p><strong>TURMA AOS SÁBADOS</strong></p>
<p><strong>De: 05/10 a 07/12</strong></p>
<p><strong>Horário:  das 09h as 17h</strong></p>

<p><strong>ACATE Downtown - TÉRREO</strong></p>
<p><strong>R. Felipe Schmidt, 835 -Centro - Florianópolis/SC</strong></p>
<p><strong> </strong></p>
<p><strong>IMPORTANTE: Você deve trazer seu notebook para acompanhar as aulas!</strong></p>

<p><strong>Fale agora com um consultor:</strong></p>
","",False,0,0,True,0,0,2990,0,0,0,"","",False,False,"curso-teste.jpg","curso-teste-de.jpg","curso-teste-amp.jpg","","","","","","","",0,"",0,"","",0,0,"","mdpsc.htm","",10,0,"",False,False,0,0,0,"","","Curso de Marketing Digital de Alta Performance em Florianópolis","curso-de-marketing-digital-de-alta-performance-em-florianopolis","","O Programa Avançado de Marketing Digital da ComSchool ensina técnicas de alto nível para você evoluir na sua carreira. Curso presencial ou ao vivo pela Internet. Curso de Marketing Digital Avançado.","271504,271501,271506"
