ERRO,COMANDO,NOMECAT,IDPRODUTO,CODPROD,NOMEPROD,PESO,DESCRICAO,DESCRLONGA,DESCRURL,URLTARGET,ESTOQUE,ESTOQUEMINIMO,DISPONIVEL,ICMS,CUSTO,PRECO,PRECOPROM,PRECOB2B,PRECOB2BPROM,DATAPROMINICIO,DATAPROMFIM,LANCAMENTO,EMDESTAQUE,IMAGEMPROD,IMAGEMDET,IMAGEMAMP,ADICIONAL1,ADICIONAL2,ADICIONAL3,ADICIONALD1,ADICIONALD2,ADICIONALD3,CORES,ORDEMPROD,IDPRODUTOPAI,RAMOPROD,MAISPROD,DATAVENCIMENTO,DIASAVISOVENCIMENTO,DIASREPOSICAO,IDPARCEIROPROD,DESCRHTM,METAKEYWORDSPROD,MAXPARCELASPROD,XMLPARCELASPROD,CODBARRASPROD,EMBALAVEL,ISPRODUTOGRANDE,LARGURAPROD,ALTURAPROD,PROFUNDIDADEPROD,CODVIDEO,PRODMPN,TITLEPROD,URLPROD,VENDACONJUNTA,METADESCRIPTIONPROD,IDSFILTROITEM
"IDProduto não encontrado","E","Cursos de E-commerce",0,"","",0,"","","",False,50,0,True,0,0,1500,1350,0,0,"","",False,True,"","","",192376,"","","19h às 22h30","20/06/2019","20/06/2019 19h às 22h30","",0,6468307,0,"","",0,0,"","","",0,0,"",False,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Cursos de E-commerce",0,"","",0,"","","",False,50,0,True,0,0,1200,1050,0,0,"","",False,True,"","","",192377,"","","19h às 22h30","20/06/2019","20/06/2019 19h às 22h30","",0,6468307,0,"","",0,0,"","","",0,0,"",False,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Cursos de E-commerce",0,"","",0,"","","",False,50,0,True,0,0,1500,1350,0,0,"","",False,True,"","","",192376,"","","19h às 22h30","20/07/2019","20/07/2019 19h às 22h30","",0,6468307,0,"","",0,0,"","","",0,0,"",False,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Cursos de E-commerce",0,"","",0,"","","",False,50,0,True,0,0,1200,1050,0,0,"","",False,True,"","","",192377,"","","19h às 22h30","20/07/2019","20/07/2019 19h às 22h30","",0,6468307,0,"","",0,0,"","","",0,0,"",False,False,0,0,0,"","","","","","",""
